image,Gender,Emotion,Face_Info,Body_Info
10Wf copy.png,F,F,1,1
11Wa copy.png,F,A,1,0
11Wf copy.png,F,F,1,1
12Wa copy.png,F,A,1,1
13Ma copy.png,M,A,0,1
13Mf copy.png,M,F,1,1
13Wa copy.png,F,A,1,1
14Ma copy.png,M,A,0,1
14Wf copy.png,F,F,1,1
15Wf copy.png,F,F,1,1
16Mf copy.png,M,F,1,1
16Wa copy.png,F,A,0,1
16Wf copy.png,F,F,1,1
17Ma copy.png,M,A,0,1
17Mf copy.png,M,F,1,1
18Wa copy.png,F,A,0,1
18Wf copy.png,F,F,1,1
19Mf copy.png,M,F,1,1
19Wf copy.png,F,F,0,1
1Mf copy.png,M,F,1,1
20Ma copy.png,M,A,1,1
20Wa copy.png,F,A,1,1
20Wf copy.png,F,F,1,1
21Wf copy.png,F,F,1,1
22Wf copy.png,F,F,0,1
2Ma copy.png,M,A,1,0
2Mf copy.png,M,F,1,0
3Mf copy.png,M,F,1,0
3Wf copy.png,F,F,1,1
4Ma copy.png,M,A,1,1
4Mf copy.png,M,F,1,1
4Wf copy.png,F,F,1,1
5Wa copy.png,F,A,0,1
5Wf copy.png,F,F,1,1
6Mf copy.png,M,F,1,0
7Wf copy.png,F,F,1,1
8Mf copy.png,M,F,1,1
8Wa copy.png,F,A,0,1
8Wf copy.png,F,F,1,0
9Ma copy.png,M,A,1,1
9Mf copy.png,M,F,1,0
9Wa copy.png,F,A,1,1
9Wf copy.png,F,F,1,1
